iter	Passed	Remaining
0	0	240
1	0	220
2	0	212
3	0	200
4	0	198
5	1	197
6	1	197
7	1	198
8	1	199
9	2	198
10	2	198
11	2	198
12	2	194
13	2	195
14	3	199
15	3	198
16	3	199
17	3	199
18	3	199
19	4	200
20	4	201
21	4	201
22	4	201
23	5	227
24	5	226
25	6	225
26	6	223
27	6	222
28	6	221
29	6	220
30	7	220
31	7	219
32	7	218
33	7	219
34	8	222
35	8	223
36	8	224
37	8	225
38	9	226
39	9	226
40	9	226
41	9	227
42	10	227
43	10	228
44	10	229
45	11	229
46	11	228
47	11	229
48	11	228
49	11	227
50	12	227
51	12	225
52	12	225
53	12	224
54	13	223
55	13	223
56	13	222
57	13	222
58	13	221
59	14	220
60	14	220
61	14	219
62	14	218
63	14	217
64	15	217
65	15	216
66	15	216
67	15	215
68	15	214
69	16	213
70	16	212
71	16	212
72	16	211
73	16	211
74	17	210
75	17	210
76	17	209
77	17	209
78	17	208
79	18	207
80	18	207
81	18	206
82	18	206
83	18	205
84	19	204
85	19	204
86	19	203
87	19	203
88	19	202
89	19	201
90	20	201
91	20	201
92	20	201
93	20	200
94	21	200
95	21	200
96	21	199
97	21	199
98	21	198
99	22	198
100	22	198
101	22	197
102	22	197
103	22	196
104	23	196
105	23	195
106	23	195
107	23	194
108	23	194
109	23	193
110	24	192
111	24	191
112	24	190
113	24	190
114	24	189
115	24	189
116	25	188
117	25	188
118	25	187
119	25	187
120	25	186
121	25	186
122	26	186
123	26	186
124	26	185
125	26	185
126	26	184
127	27	184
128	27	184
129	27	183
130	27	183
131	27	182
132	27	182
133	28	181
134	28	181
135	28	181
136	28	181
137	28	180
138	29	180
139	29	180
140	29	179
141	29	179
142	29	179
143	30	179
144	30	178
145	30	178
146	30	177
147	30	177
148	31	177
149	31	177
150	31	176
151	31	176
152	31	175
153	31	175
154	32	175
155	32	174
156	32	174
157	32	174
158	32	174
159	33	173
160	33	173
161	33	173
162	33	172
163	33	172
164	33	172
165	34	171
166	34	171
167	34	171
168	34	170
169	34	170
170	35	170
171	35	170
172	35	170
173	35	169
174	35	169
175	36	169
176	36	169
177	36	168
178	36	168
179	36	168
180	37	168
181	37	167
182	37	167
183	37	167
184	37	167
185	38	167
186	38	166
187	38	166
188	38	166
189	38	165
190	39	165
191	39	165
192	39	165
193	39	165
194	39	164
195	40	164
196	40	164
197	40	164
198	40	163
199	40	163
200	41	163
201	41	163
202	41	162
203	41	162
204	41	162
205	42	162
206	42	162
207	42	161
208	42	161
209	42	161
210	43	161
211	43	160
212	43	160
213	43	160
214	43	160
215	44	160
216	44	159
217	44	159
218	44	159
219	44	159
220	45	159
221	45	158
222	45	158
223	45	158
224	45	158
225	46	158
226	46	157
227	46	157
228	46	157
229	46	157
230	47	156
231	47	156
232	47	156
233	47	156
234	47	156
235	48	155
236	48	155
237	48	155
238	48	155
239	49	155
240	49	154
241	49	154
242	49	154
243	49	154
244	49	153
245	50	153
246	50	153
247	50	153
248	50	153
249	50	152
250	51	152
251	51	152
252	51	152
253	51	151
254	51	151
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	149
263	53	149
264	53	149
265	54	149
266	54	149
267	54	149
268	54	149
269	55	148
270	55	148
271	55	148
272	55	148
273	55	148
274	56	147
275	56	147
276	56	147
277	56	147
278	56	146
279	57	146
280	57	146
281	57	146
282	57	146
283	57	145
284	58	145
285	58	145
286	58	145
287	58	145
288	58	144
289	59	144
290	59	144
291	59	144
292	59	144
293	60	144
294	60	144
295	60	144
296	60	144
297	61	144
298	61	143
299	61	143
300	61	143
301	61	143
302	62	142
303	62	142
304	62	142
305	62	142
306	63	142
307	63	142
308	63	142
309	63	141
310	63	141
311	64	141
312	64	141
313	64	141
314	64	140
315	65	140
316	65	140
317	65	140
318	65	140
319	65	139
320	65	139
321	66	139
322	66	139
323	66	138
324	66	138
325	66	138
326	67	138
327	67	137
328	67	137
329	67	137
330	67	137
331	68	137
332	68	136
333	68	136
334	68	136
335	68	136
336	69	135
337	69	135
338	69	135
339	69	135
340	69	135
341	70	134
342	70	134
343	70	134
344	70	134
345	70	133
346	71	133
347	71	133
348	71	133
349	71	133
350	71	132
351	72	132
352	72	132
353	72	132
354	72	132
355	72	131
356	73	131
357	73	131
358	73	131
359	73	130
360	73	130
361	74	130
362	74	130
363	74	130
364	74	129
365	74	129
366	75	129
367	75	129
368	75	129
369	75	128
370	75	128
371	76	128
372	76	128
373	76	128
374	76	127
375	76	127
376	77	127
377	77	127
378	77	127
379	78	127
380	78	127
381	78	127
382	78	127
383	79	127
384	79	127
385	79	126
386	80	126
387	80	126
388	80	126
389	80	126
390	80	125
391	81	125
392	81	125
393	81	125
394	81	124
395	81	124
396	82	124
397	82	124
398	82	124
399	83	124
400	83	124
401	83	124
402	83	124
403	84	124
404	84	123
405	84	123
406	84	123
407	85	123
408	85	123
409	85	123
410	86	123
411	86	123
412	86	123
413	86	122
414	87	122
415	87	122
416	87	122
417	87	122
418	88	122
419	88	121
420	88	121
421	88	121
422	88	121
423	89	120
424	89	120
425	89	120
426	89	120
427	89	120
428	90	119
429	90	119
430	90	119
431	90	119
432	90	118
433	91	118
434	91	118
435	91	118
436	91	118
437	91	117
438	92	117
439	92	117
440	92	117
441	92	116
442	92	116
443	93	116
444	93	116
445	93	116
446	93	116
447	94	116
448	94	115
449	94	115
450	95	115
451	95	115
452	95	115
453	95	115
454	96	115
455	96	115
456	96	114
457	96	114
458	97	114
459	97	114
460	97	114
461	98	114
462	98	114
463	98	113
464	98	113
465	99	113
466	99	113
467	99	113
468	99	113
469	100	112
470	100	112
471	100	112
472	100	112
473	101	112
474	101	112
475	101	112
476	101	111
477	102	111
478	102	111
479	102	111
480	102	110
481	102	110
482	103	110
483	103	110
484	103	109
485	103	109
486	103	109
487	104	109
488	104	109
489	104	108
490	104	108
491	104	108
492	105	108
493	105	107
494	105	107
495	105	107
496	105	107
497	106	106
498	106	106
499	106	106
500	106	106
501	106	106
502	107	105
503	107	105
504	107	105
505	107	105
506	107	104
507	108	104
508	108	104
509	108	104
510	108	104
511	109	104
512	109	103
513	109	103
514	110	103
515	110	103
516	110	103
517	110	102
518	110	102
519	111	102
520	111	102
521	111	102
522	111	101
523	111	101
524	112	101
525	112	101
526	112	100
527	112	100
528	112	100
529	113	100
530	113	100
531	113	99
532	113	99
533	114	99
534	114	99
535	114	99
536	114	99
537	115	98
538	115	98
539	115	98
540	116	98
541	116	98
542	116	98
543	116	97
544	117	97
545	117	97
546	117	97
547	117	97
548	118	97
549	118	96
550	118	96
551	119	96
552	119	96
553	119	96
554	119	96
555	120	95
556	120	95
557	120	95
558	120	95
559	121	95
560	121	94
561	121	94
562	121	94
563	121	94
564	122	93
565	122	93
566	122	93
567	122	93
568	122	93
569	123	92
570	123	92
571	123	92
572	123	92
573	123	91
574	124	91
575	124	91
576	124	91
577	124	91
578	124	90
579	125	90
580	125	90
581	125	90
582	125	89
583	126	89
584	126	89
585	126	89
586	126	89
587	127	89
588	127	88
589	127	88
590	127	88
591	127	88
592	128	87
593	128	87
594	128	87
595	128	87
596	129	87
597	129	86
598	129	86
599	129	86
600	129	86
601	130	85
602	130	85
603	130	85
604	130	85
605	130	85
606	130	84
607	131	84
608	131	84
609	131	84
610	131	83
611	131	83
612	132	83
613	132	83
614	132	82
615	132	82
616	132	82
617	133	82
618	133	82
619	133	81
620	133	81
621	133	81
622	134	81
623	134	80
624	134	80
625	134	80
626	134	80
627	135	80
628	135	79
629	135	79
630	135	79
631	135	79
632	136	78
633	136	78
634	136	78
635	136	78
636	136	78
637	137	77
638	137	77
639	137	77
640	137	77
641	137	76
642	138	76
643	138	76
644	138	76
645	138	76
646	138	75
647	139	75
648	139	75
649	139	75
650	139	74
651	139	74
652	140	74
653	140	74
654	140	73
655	140	73
656	140	73
657	141	73
658	141	73
659	141	72
660	141	72
661	142	72
662	142	72
663	142	72
664	142	71
665	142	71
666	143	71
667	143	71
668	143	71
669	143	70
670	144	70
671	144	70
672	144	70
673	144	70
674	145	69
675	145	69
676	145	69
677	145	69
678	146	69
679	146	68
680	146	68
681	146	68
682	146	68
683	147	67
684	147	67
685	147	67
686	147	67
687	147	67
688	148	66
689	148	66
690	148	66
