NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,PIT_TIME,CLASS,GROUP,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,IM1a_time,IM1a_elapsed,IM1_time,IM1_elapsed,IM2a_time,IM2a_elapsed,IM2_time,IM2_elapsed,IM3a_time,IM3a_elapsed,FL_time,FL_elapsed,LAP_TIME_SECONDS,TRACK,RACE,AIR_TEMP,TRACK_TEMP,HUMIDITY,RAIN,WIND_SPEED,BEST_LAP_SECONDS,AVG_TOP10_SECONDS,TOTAL_DRIVER_LAPS,INT-1_time,INT-1_elapsed,INT-2_time,INT-2_elapsed
3,1,1,1:54.168,0,,33.413,0,43.534,0,37.221,0,116.7,1:54.168,13:42:35.322,0:33.413,0:43.534,0:37.221,182.1,,Am,,Toyota Gazoo Racing,FCY,33.413,43.534,37.221,22.57,22.57,10.843,33.413,30.646,1:04.059,12.888,1:16.947,11.8,1:28.747,25.421,1:54.168,114.168,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,2,2:13.691,0,,39.57,0,57.345,0,36.776,0,99.7,4:07.859,13:44:49.013,0:39.570,0:57.345,0:36.776,145.2,,Am,,Toyota Gazoo Racing,FCY,39.57,57.345,36.776,20.769,20.769,18.801,39.57,35.764,1:15.334,21.581,1:36.915,13.529,1:50.444,23.247,2:13.691,133.691,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,3,1:58.021,0,,33.801,0,49.853,0,34.367,0,112.9,6:05.880,13:46:47.034,0:33.801,0:49.853,0:34.367,156.1,,Am,,Toyota Gazoo Racing,GF,33.801,49.853,34.367,21.444,21.444,12.357,33.801,34.462,1:08.263,15.391,1:23.654,13.223,1:36.877,21.144,1:58.021,118.021,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,4,1:40.861,0,,27.568,0,43.834,0,29.459,0,132.1,7:46.741,13:48:27.895,0:27.568,0:43.834,0:29.459,182.1,,Am,,Toyota Gazoo Racing,GF,27.568,43.834,29.459,17.515,17.515,10.053,27.568,30.912,58.480,12.922,1:11.402,11.353,1:22.755,18.106,1:40.861,100.86099999999999,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,5,1:39.725,0,,27.214,0,43.389,0,29.122,0,133.6,9:26.466,13:50:07.620,0:27.214,0:43.389,0:29.122,183.1,,Am,,Toyota Gazoo Racing,GF,27.214,43.389,29.122,17.277,17.277,9.937,27.214,30.557,57.771,12.832,1:10.603,11.158,1:21.761,17.964,1:39.725,99.725,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,6,1:40.323,0,,27.148,0,43.678,0,29.497,0,132.8,11:06.789,13:51:47.943,0:27.148,0:43.678,0:29.497,184.3,,Am,,Toyota Gazoo Racing,GF,27.148,43.678,29.497,17.269,17.269,9.879,27.148,30.914,58.062,12.764,1:10.826,11.395,1:22.221,18.102,1:40.323,100.32300000000001,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,7,1:39.387,0,,27.037,0,43.088,0,29.262,0,134.1,12:46.176,13:53:27.330,0:27.037,0:43.088,0:29.262,184.3,,Am,,Toyota Gazoo Racing,GF,27.037,43.088,29.262,17.113,17.113,9.924,27.037,30.284,57.321,12.804,1:10.125,11.32,1:21.445,17.942,1:39.387,99.387,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,8,1:39.870,0,,27.165,0,43.421,0,29.284,0,133.4,14:26.046,13:55:07.200,0:27.165,0:43.421,0:29.284,182.1,,Am,,Toyota Gazoo Racing,GF,27.165,43.421,29.284,17.206,17.206,9.959,27.165,30.558,57.723,12.863,1:10.586,11.283,1:21.869,18.001,1:39.870,99.87,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,9,1:39.167,2,,27.076,0,42.981,2,29.110,0,134.4,16:05.213,13:56:46.367,0:27.076,0:42.981,0:29.110,183.1,,Am,,Toyota Gazoo Racing,GF,27.076,42.981,29.11,17.178,17.178,9.898,27.076,30.182,57.258,12.799,1:10.057,11.042,1:21.099,18.068,1:39.167,99.167,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
3,1,10,1:39.284,0,,26.961,2,43.160,0,29.163,0,134.2,17:44.497,13:58:25.651,0:26.961,0:43.160,0:29.163,183.1,,Am,,Toyota Gazoo Racing,GF,26.961,43.16,29.163,17.065,17.065,9.896,26.961,30.324,57.285,12.836,1:10.121,11.281,1:21.402,17.882,1:39.284,99.28399999999999,barber,1,30.16720930232558,0.0,55.655348837209296,0,4.0269767441860465,99.167,99.572,27,,,,
