RACE_SESSION,DRIVER_NUMBER,LAP_NUMBER,PIT_STOP_TIME,LAPS_BEFORE_PIT,AVG_LAP_TIME_BEFORE,STD_LAP_TIME_BEFORE,LAST_LAP_TIME,TRACK_FACTOR,LAP_PROGRESS,AIR_TEMP,TRACK_TEMP,RAIN,AVG_SPEED_BEFORE,AVG_TOP_SPEED_BEFORE,TRACK_COTA,TRACK_Road America,TRACK_Sebring,TRACK_Sonoma,TRACK_VIR,TRACK_barber,TRACK
1,1,3,16.976532807151038,64,195.783046875,30.08319589280288,163.627,1.1,0.2,28.695909090909087,41.225,0,103.03125,151.76875,True,False,False,False,False,False,COTA
1,1,4,18.39954478461204,96,181.41358333333332,31.95043209910154,150.987,1.1,0.26666666666666666,28.695909090909087,41.225,0,111.71354166666667,169.00833333333335,True,False,False,False,False,False,COTA
1,1,5,15.873769937914993,128,174.88669531249997,31.05158276148011,150.18,1.1,0.3333333333333333,28.695909090909087,41.225,0,115.73515625,177.2890625,True,False,False,False,False,False,COTA
1,1,6,15.98379456457623,160,170.709125,29.354236687723084,150.307,1.1,0.4,28.695909090909087,41.225,0,118.25625,182.0975,True,False,False,False,False,False,COTA
1,1,6,18.70381922326109,160,170.709125,29.354236687723084,150.307,1.1,0.4,28.695909090909087,41.225,0,118.25625,182.0975,True,False,False,False,False,False,COTA
1,1,13,18.256152093729362,375,162.52809333333335,23.035454953013957,199.667,1.1,0.8666666666666667,28.695909090909087,41.225,0,123.1216,187.6378666666667,True,False,False,False,False,False,COTA
1,1,14,16.510788421097576,405,166.58676790123457,26.706085788153505,222.002,1.1,0.9333333333333333,28.695909090909087,41.225,0,120.7558024691358,180.67777777777778,True,False,False,False,False,False,COTA
1,1,15,18.138840065378947,434,165.82926267281104,26.27744275305058,150.875,1.1,1.0,28.695909090909087,41.225,0,121.22603686635946,182.23617511520737,True,False,False,False,False,False,COTA
1,1,6,16.727373460781305,140,208.71364285714284,34.443827264816406,168.778,1.15,0.6,21.55441860465116,24.74418604651163,0,115.38999999999999,175.0857142857143,False,True,False,False,False,False,Road America
1,1,8,17.068905369644618,195,198.47968205128205,33.75216155203204,167.778,1.15,0.8,21.55441860465116,24.74418604651163,0,121.28102564102564,182.4676923076923,False,True,False,False,False,False,Road America
1,1,10,18.47544340734905,250,192.336616,32.03905483937606,167.149,1.15,1.0,21.55441860465116,24.74418604651163,0,124.87079999999999,186.64239999999995,False,True,False,False,False,False,Road America
1,1,3,11.94387325123045,44,153.35911363636362,13.870922060221519,149.485,1.0,0.1875,33.562666666666665,42.79111111111111,0,142.09090909090907,,False,False,True,False,False,False,Sebring
1,1,6,13.969068706138541,110,151.4846,13.725177835247685,151.984,1.0,0.375,33.562666666666665,42.79111111111111,0,143.84454545454545,,False,False,True,False,False,False,Sebring
